Community,Isolate1,Isolate2,Isolate1InitialODFreq,Isolate2InitialODFreq,Time,Isolate1MeasuredFreq,ErrorIsolate1MeasuredFreq,RawDataType,Contamination
RanAss1,4,8,0.05,0.95,T3,0.815494151827543,,Sanger,FALSE
RanAss1,4,8,0.95,0.05,T3,0.941842636102585,,Sanger,FALSE
RanAss1,5,6,0.05,0.95,T3,0.0200198028487833,,Sanger,FALSE
RanAss1,5,6,0.95,0.05,T3,0.0387565303192103,,Sanger,FALSE
RanAss1,5,7,0.05,0.95,T3,0.205273996607059,,Sanger,FALSE
RanAss1,5,7,0.95,0.05,T3,0.467644802833541,,Sanger,FALSE
RanAss1,5,8,0.05,0.95,T3,0.0583603232953769,,Sanger,FALSE
RanAss1,5,8,0.95,0.05,T3,0.0736393467227185,,Sanger,FALSE
RanAss1,6,7,0.05,0.95,T3,0.97846941967429,,Sanger,FALSE
RanAss1,6,7,0.95,0.05,T3,0.970548029899611,,Sanger,FALSE
RanAss1,6,8,0.05,0.95,T3,0.961316661089698,,Sanger,FALSE
RanAss1,6,8,0.95,0.05,T3,1,,Sanger,FALSE
RanAss1,7,8,0.05,0.95,T3,0.590900566479701,,Sanger,FALSE
RanAss1,7,8,0.95,0.05,T3,0.708174075107127,,Sanger,FALSE
RanAss2,1,2,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss2,1,3,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss2,1,4,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss2,1,5,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss2,1,6,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss2,1,7,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss2,1,8,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss2,1,2,0.95,0.05,T0,0.95,,Sanger,FALSE
RanAss2,2,3,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss2,2,4,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss2,2,5,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss2,2,6,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss2,2,7,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss2,2,8,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss2,1,3,0.95,0.05,T0,0.95,,Sanger,FALSE
RanAss2,2,3,0.95,0.05,T0,0.95,,Sanger,FALSE
RanAss2,3,4,0.05,0.95,T0,0.05,,Sanger,FALSE
