"Community","Isolate1","Isolate2","Isolate1Freq","Isolate2Freq","Time","ErrorCellFreq1","CellFreq1"
"C11R2","5","8","5","95","T0",0.0156119606147546,0.0421810699588477
"C11R2","5","9","5","95","T0",0.0182642745406236,0.0538617886178862
"C11R2","5","10","5","95","T0",0.0224684327436856,0.0699300699300699
"C11R2","5","11","5","95","T0",0.0179958066910414,0.0538617886178862
"C11R2","5","12","5","95","T0",0.023168663489076,0.0736318407960199
"C11R2","6","7","5","95","T0",0.0231087111181244,0.0775254502740799
"C11R2","6","8","5","95","T0",0.0303291095209618,0.101449275362319
"C11R2","6","9","5","95","T0",0.0308755414639092,0.106899166034875
"C11R2","6","10","5","95","T0",0.0396214844896348,0.145137880986938
"C11R2","6","11","5","95","T0",0.00940050081593263,0.0224066390041494
"C11R2","6","12","5","95","T0",0.0218695644984832,0.0724409448818898
"C11R2","7","8","5","95","T0",0.00921343491716114,0.0161812297734628
"C11R2","7","9","5","95","T0",0.0133174198021815,0.0349206349206349
"C11R2","7","10","5","95","T0",0.0132431811734237,0.0349206349206349
"C11R2","7","11","5","95","T0",0.0141802359889618,0.0389884088514226
"C11R2","7","12","5","95","T0",NA,NA
"C11R2","8","9","5","95","T0",0.0249772344393593,0.0873842592592593
"C11R2","8","10","5","95","T0",0.0459515229443993,0.182901554404145
"C11R2","8","11","5","95","T0",0.00730215730267018,0.015605493133583
"C11R2","8","12","5","95","T0",0.00607069878798139,0.00692695214105793
"C11R2","9","10","5","95","T0",0.061572313256647,0.262253341820496
"C11R2","9","11","5","95","T0",0.00900963799787045,0.0202874049027895
"C11R2","9","12","5","95","T0",0.0102281004830761,0.0260504201680672
"C11R2","10","11","5","95","T0",0.0112589774335936,0.0295698924731183
"C11R2","10","12","5","95","T0",0.00930354996379745,0.0207956600361664
"C11R2","11","12","5","95","T0",0.0169192844797008,0.0509125840537944
"C11R2","1","2","50","50","T0",0.0553582965837733,0.881656804733728
"C11R2","1","3","50","50","T0",0.0775367555849146,0.772727272727273
"C11R2","1","4","50","50","T0",0.0643715753622077,0.841269841269841
"C11R2","1","5","50","50","T0",0.118638493768984,0.574468085106383
"C11R2","1","6","50","50","T0",0.0744100241359278,0.814814814814815
"C11R2","1","7","50","50","T0",0.0909070545811664,0.72972972972973
"C11R2","1","8","50","50","T0",0.0844968225822999,0.807692307692308
"C11R2","1","9","50","50","T0",0.122452276418203,0.6
"C11R2","1","10","50","50","T0",0.10795871436255,0.672131147540984
"C11R2","1","11","50","50","T0",0.0742583568562186,0.801980198019802
"C11R2","1","12","50","50","T0",0.089517656612824,0.74025974025974
"C11R2","2","3","50","50","T0",0.0879439305943589,0.1875
"C11R2","2","4","50","50","T0",0.0733481820932311,0.632075471698113
"C11R2","2","5","50","50","T0",0.0854242522006832,0.264150943396226
"C11R2","2","6","50","50","T0",0.0800102359187187,0.549132947976879
"C11R2","2","7","50","50","T0",0.0912247369855202,0.142857142857143
"C11R2","2","8","50","50","T0",NA,NA
"C11R2","2","9","50","50","T0",NA,NA
"C11R2","2","10","50","50","T0",NA,NA
"C11R2","2","11","50","50","T0",0.0831047727228355,0.458333333333333
"C11R2","2","12","50","50","T0",0.0881172656549806,0.1875
"C11R2","3","4","50","50","T0",0.07426435472154,0.695652173913043
"C11R2","3","5","50","50","T0",0.0740275283904677,0.686567164179104
"C11R2","3","6","50","50","T0",0.0776828119318129,0.676923076923077
"C11R2","3","7","50","50","T0",NA,NA
"C11R2","3","8","50","50","T0",0.101957106658743,0.44
"C11R2","3","9","50","50","T0",0.0981736241926064,0.44
"C11R2","3","10","50","50","T0",0.103797995836875,0.311475409836066
"C11R2","3","11","50","50","T0",0.0873912785695979,0.575757575757576
"C11R2","3","12","50","50","T0",NA,NA
"C11R2","4","5","50","50","T0",0.0860914693451071,0.491228070175439
"C11R2","4","6","50","50","T0",0.0703815174359649,0.688172043010753
"C11R2","4","7","50","50","T0",0.0796815768988134,0.588652482269504
"C11R2","4","8","50","50","T0",0.0766789879271542,0.654761904761905
"C11R2","4","9","50","50","T0",0.0813372890228666,0.585714285714286
"C11R2","4","10","50","50","T0",0.0816408784702997,0.576642335766423
"C11R2","4","11","50","50","T0",0.0837311336975855,0.53968253968254
"C11R2","4","12","50","50","T0",0.0754941016186686,0.635220125786163
"C11R2","5","6","50","50","T0",0.0806697694906953,0.625954198473282
"C11R2","5","7","50","50","T0",0.0845135345251686,0.5625
"C11R2","5","8","50","50","T0",0.0842199253704589,0.62015503875969
"C11R2","5","9","50","50","T0",0.0928538317683986,0.455555555555556
"C11R2","5","10","50","50","T0",0.0897614191926129,0.505050505050505
"C11R2","5","11","50","50","T0",0.0869444839886642,0.537735849056604
"C11R2","5","12","50","50","T0",0.0674644972189697,0.715116279069767
"C11R2","6","7","50","50","T0",0.0846810233197432,0.495934959349594
"C11R2","6","8","50","50","T0",0.0804725615789228,0.607594936708861
"C11R2","6","9","50","50","T0",0.0784250831298791,0.607594936708861
"C11R2","6","10","50","50","T0",0.071179724495412,0.671957671957672
"C11R2","6","11","50","50","T0",NA,NA
"C11R2","6","12","50","50","T0",0.0697134499676622,0.678756476683938
"C11R2","7","8","50","50","T0",0.0962829316317598,0.460674157303371
"C11R2","7","9","50","50","T0",0.0959705480552086,0.392405063291139
"C11R2","7","10","50","50","T0",0.0945838774833272,0.414634146341463
"C11R2","7","11","50","50","T0",0.0778457663206533,0.641791044776119
"C11R2","7","12","50","50","T0",NA,NA
"C11R2","8","9","50","50","T0",0.0710670255438257,0.651260504201681
"C11R2","8","10","50","50","T0",0.0810208761581407,0.50887573964497
