q,q2,seed,S,exp_id
0.75,0.65,4,200,668
0.85,0.65,4,200,669
0.95,0.65,4,200,670
0.05,0.75,4,200,671
0.15,0.75,4,200,672
0.25,0.75,4,200,673
0.35,0.75,4,200,674
0.45,0.75,4,200,675
0.55,0.75,4,200,676
0.65,0.75,4,200,677
0.75,0.75,4,200,678
0.85,0.75,4,200,679
0.95,0.75,4,200,680
0.05,0.85,4,200,681
0.15,0.85,4,200,682
0.25,0.85,4,200,683
0.35,0.85,4,200,684
0.45,0.85,4,200,685
0.55,0.85,4,200,686
0.65,0.85,4,200,687
0.75,0.85,4,200,688
0.85,0.85,4,200,689
0.95,0.85,4,200,690
0.05,0.95,4,200,691
0.15,0.95,4,200,692
0.25,0.95,4,200,693
0.35,0.95,4,200,694
0.45,0.95,4,200,695
0.55,0.95,4,200,696
0.65,0.95,4,200,697
0.75,0.95,4,200,698
0.85,0.95,4,200,699
0.95,0.95,4,200,700
0.05,0.05,5,200,701
0.15,0.05,5,200,702
0.25,0.05,5,200,703
0.35,0.05,5,200,704
0.45,0.05,5,200,705
0.55,0.05,5,200,706
0.65,0.05,5,200,707
0.75,0.05,5,200,708
0.85,0.05,5,200,709
0.95,0.05,5,200,710
0.05,0.15,5,200,711
0.15,0.15,5,200,712
0.25,0.15,5,200,713
0.35,0.15,5,200,714
0.45,0.15,5,200,715
0.55,0.15,5,200,716
0.65,0.15,5,200,717
0.75,0.15,5,200,718
0.85,0.15,5,200,719
0.95,0.15,5,200,720
0.05,0.25,5,200,721
0.15,0.25,5,200,722
0.25,0.25,5,200,723
0.35,0.25,5,200,724
0.45,0.25,5,200,725
0.55,0.25,5,200,726
0.65,0.25,5,200,727
0.75,0.25,5,200,728
0.85,0.25,5,200,729
0.95,0.25,5,200,730
0.05,0.35,5,200,731
0.15,0.35,5,200,732
0.25,0.35,5,200,733
0.35,0.35,5,200,734
0.45,0.35,5,200,735
0.55,0.35,5,200,736
0.65,0.35,5,200,737
0.75,0.35,5,200,738
0.85,0.35,5,200,739
0.95,0.35,5,200,740
0.05,0.45,5,200,741
0.15,0.45,5,200,742
0.25,0.45,5,200,743
0.35,0.45,5,200,744
0.45,0.45,5,200,745
0.55,0.45,5,200,746
0.65,0.45,5,200,747
0.75,0.45,5,200,748
0.85,0.45,5,200,749
0.95,0.45,5,200,750
0.05,0.55,5,200,751
0.15,0.55,5,200,752
0.25,0.55,5,200,753
0.35,0.55,5,200,754
0.45,0.55,5,200,755
0.55,0.55,5,200,756
0.65,0.55,5,200,757
0.75,0.55,5,200,758
0.85,0.55,5,200,759
0.95,0.55,5,200,760
0.05,0.65,5,200,761
0.15,0.65,5,200,762
0.25,0.65,5,200,763
0.35,0.65,5,200,764
0.45,0.65,5,200,765
0.55,0.65,5,200,766
0.65,0.65,5,200,767
0.75,0.65,5,200,768
0.85,0.65,5,200,769
0.95,0.65,5,200,770
0.05,0.75,5,200,771
0.15,0.75,5,200,772
0.25,0.75,5,200,773
0.35,0.75,5,200,774
0.45,0.75,5,200,775
0.55,0.75,5,200,776
0.65,0.75,5,200,777
0.75,0.75,5,200,778
0.85,0.75,5,200,779
0.95,0.75,5,200,780
0.05,0.85,5,200,781
0.15,0.85,5,200,782
0.25,0.85,5,200,783
0.35,0.85,5,200,784
0.45,0.85,5,200,785
0.55,0.85,5,200,786
0.65,0.85,5,200,787
0.75,0.85,5,200,788
0.85,0.85,5,200,789
0.95,0.85,5,200,790
0.05,0.95,5,200,791
0.15,0.95,5,200,792
0.25,0.95,5,200,793
0.35,0.95,5,200,794
0.45,0.95,5,200,795
0.55,0.95,5,200,796
0.65,0.95,5,200,797
0.75,0.95,5,200,798
0.85,0.95,5,200,799
0.95,0.95,5,200,800
0.05,0.05,6,200,801
0.15,0.05,6,200,802
0.25,0.05,6,200,803
0.35,0.05,6,200,804
0.45,0.05,6,200,805
0.55,0.05,6,200,806
0.65,0.05,6,200,807
0.75,0.05,6,200,808
0.85,0.05,6,200,809
