AlignmentType,ExpID1,ExpID2,ConsensusLength,BasePairGap,BasePairMismatch,AlignmentScore
global,JVN13,JVN18,526,0,8,1049.36462402344
global,JVN13,JVN19,526,0,0,242.4013671875
global,JVN13,JVN20,527,0,63,-210.238265991211
global,JVN13,JVN21,527,0,10,566.482971191406
global,JVN13,JVN22,533,6,0,494.037078857422
global,JVN13,JVN23,527,0,62,-348.302886962891
global,JVN13,JVN24,533,6,0,0.383005023002625
global,JVN13,JVN25,709,184,8,514.578369140625
global,JVN13,JVN26,527,0,10,-522.427001953125
global,JVN13,JVN27,531,4,8,441.334991455078
global,JVN13,JVN28,537,10,0,952.383056640625
global,JVN13,JVN30,527,0,62,-1320.3037109375
global,JVN13,JVN31,566,46,86,96.7434921264648
global,JVN13,JVN33,677,159,79,-216.054336547852
global,JVN13,JVN34,527,86,1,643.620727539063
global,JVN13,JVN35,767,240,65,-767.359741210938
global,JVN13,JVN36,525,85,1,637.317321777344
global,JVN13,JVN37,527,0,64,-450.856201171875
global,JVN13,JVN38,330,89,82,-1086.74267578125
global,JVN13,JVN39,677,159,79,-228.054428100586
global,JVN13,JVN40,533,6,0,478.037048339844
global,JVN13,JVN41,527,0,3,633.150329589844
global,JVN13,JVN42,527,0,3,-166.849792480469
global,JVN13,JVN44,677,157,87,-741.140441894531
global,JVN13,JVN46,527,0,64,-1146.85546875
global,JVN14,JVN15,985,452,65,-1261.36828613281
global,JVN14,JVN16,736,1,87,-5.179443359375
global,JVN14,JVN17,892,32,102,860.843505859375
global,JVN14,JVN18,766,222,68,-1105.69104003906
global,JVN14,JVN19,722,4,85,-299.101196289063
global,JVN14,JVN20,777,0,3,1004.4609375
global,JVN14,JVN21,699,3,86,-134.485778808594
global,JVN14,JVN22,937,235,86,-223.264587402344
global,JVN14,JVN23,784,0,2,853.496948242188
global,JVN14,JVN24,1013,235,92,29.0496826171875
global,JVN14,JVN25,711,4,86,-83.8036499023438
global,JVN14,JVN26,897,5,101,655.011596679688
global,JVN14,JVN27,893,236,81,-602.433044433594
global,JVN14,JVN28,749,204,65,-1185.72290039063
global,JVN14,JVN30,1013,0,3,2232.75073242188
global,JVN14,JVN31,1014,453,90,-1396.25732421875
global,JVN14,JVN33,916,244,114,-723.552673339844
global,JVN14,JVN34,442,1,59,-1694.50573730469
global,JVN14,JVN35,937,0,3,2272.7333984375
global,JVN14,JVN36,765,325,59,-1691.072265625
global,JVN14,JVN37,835,0,1,1402.56750488281
global,JVN14,JVN38,570,329,87,-3080.15673828125
global,JVN14,JVN39,818,143,112,-706.617736816406
global,JVN14,JVN40,941,235,86,-196.997314453125
global,JVN14,JVN41,902,241,78,-413.560363769531
global,JVN14,JVN42,1015,156,101,650.448486328125
global,JVN14,JVN44,907,145,115,-352.603973388672
global,JVN14,JVN46,1007,0,2,2515.40747070313
global,JVN15,JVN16,526,0,4,294.548736572266
global,JVN15,JVN17,533,0,2,22.8223876953125
global,JVN15,JVN18,533,0,11,1072.60327148438
global,JVN15,JVN19,533,0,0,288.274047851563
global,JVN15,JVN20,540,7,68,-213.924819946289
global,JVN15,JVN21,526,0,10,531.916259765625
global,JVN15,JVN22,702,171,0,511.251708984375
global,JVN15,JVN23,542,9,66,-343.663665771484
global,JVN15,JVN24,783,252,0,16.3100662231445
global,JVN15,JVN25,654,121,8,575.111389160156
global,JVN15,JVN26,654,121,10,-496.536499023438
global,JVN15,JVN27,533,4,9,429.417449951172
global,JVN15,JVN28,533,0,0,998.273559570313
global,JVN15,JVN30,771,238,63,-1300.77746582031
global,JVN15,JVN31,574,53,84,98.4873733520508
global,JVN15,JVN33,689,170,79,-219.750625610352
global,JVN15,JVN34,440,1,1,589.013671875
global,JVN15,JVN35,737,204,66,-745.505249023438
global,JVN15,JVN36,440,0,1,623.317077636719
global,JVN15,JVN37,654,121,65,-430.073364257813
global,JVN15,JVN38,241,0,82,-1110.74267578125
global,JVN15,JVN39,555,35,81,-238.038604736328
global,JVN15,JVN40,706,175,0,495.251708984375
global,JVN15,JVN41,533,0,3,680.97216796875
global,JVN15,JVN42,654,121,3,-139.027740478516
global,JVN15,JVN44,553,31,89,-750.939025878906
global,JVN15,JVN46,737,204,65,-1126.07250976563
global,JVN16,JVN17,860,207,8,431.117370605469
global,JVN16,JVN18,752,225,10,211.078125
global,JVN16,JVN19,928,401,4,-443.147491455078
global,JVN16,JVN20,736,1,84,964.672485351563
global,JVN16,JVN21,697,0,15,1497.72473144531
global,JVN16,JVN22,697,0,6,1545.28015136719
global,JVN16,JVN23,752,17,85,928.055236816406
global,JVN16,JVN24,735,0,9,1406.54248046875
global,JVN16,JVN25,526,0,4,-272.379364013672
global,JVN16,JVN26,697,0,16,512.930786132813
global,JVN16,JVN27,654,0,6,1100.82690429688
global,JVN16,JVN28,538,0,6,353.601989746094
global,JVN16,JVN30,981,246,86,-52.5621948242188
global,JVN16,JVN31,740,189,93,-402.178741455078
global,JVN16,JVN33,685,24,113,113.319122314453
global,JVN16,JVN34,442,1,3,-214.968322753906
global,JVN16,JVN35,698,1,86,38.3051147460938
global,JVN16,JVN36,440,0,3,-211.272094726563
global,JVN16,JVN37,698,1,87,437.4248046875
global,JVN16,JVN38,645,404,82,-1918.75720214844
global,JVN16,JVN39,687,24,113,121.926330566406
global,JVN16,JVN40,701,0,6,1571.54638671875
global,JVN16,JVN41,654,0,1,1126.30639648438
global,JVN16,JVN42,861,207,1,498.004333496094
