Community,Isolate1,Isolate2,Fermenter1,Fermenter2,Family1,Family2,Genus1,Genus2,PairFermenter,PairFamily
C11R2,2,7,FALSE,TRUE,Moraxellaceae,Enterobacteriaceae,Acinetobacter,Enterobacter,FN,
C11R2,2,8,FALSE,FALSE,Moraxellaceae,Moraxellaceae,Acinetobacter,Acinetobacter,NN,
C11R2,2,9,FALSE,FALSE,Moraxellaceae,Xanthomonadaceae,Acinetobacter,Stenotrophomonas,NN,
C11R2,2,10,FALSE,FALSE,Moraxellaceae,Pseudomonadaceae,Acinetobacter,Pseudomonas,NN,
C11R2,2,11,FALSE,TRUE,Moraxellaceae,Enterobacteriaceae,Acinetobacter,Serratia,FN,
C11R2,2,12,FALSE,TRUE,Moraxellaceae,Enterobacteriaceae,Acinetobacter,Enterobacter,FN,
C11R2,3,4,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Raoultella,FF,EE
C11R2,3,5,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Salmonella,FF,EE
C11R2,3,6,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter,FF,EE
C11R2,3,7,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter,FF,EE
C11R2,3,8,TRUE,FALSE,Enterobacteriaceae,Moraxellaceae,Enterobacter,Acinetobacter,FN,
C11R2,3,9,TRUE,FALSE,Enterobacteriaceae,Xanthomonadaceae,Enterobacter,Stenotrophomonas,FN,
C11R2,3,10,TRUE,FALSE,Enterobacteriaceae,Pseudomonadaceae,Enterobacter,Pseudomonas,FN,EP
C11R2,3,11,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Serratia,FF,EE
C11R2,3,12,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter,FF,EE
C11R2,4,5,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Raoultella,Salmonella,FF,EE
C11R2,4,6,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Raoultella,Enterobacter,FF,EE
C11R2,4,7,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Raoultella,Enterobacter,FF,EE
C11R2,4,8,TRUE,FALSE,Enterobacteriaceae,Moraxellaceae,Raoultella,Acinetobacter,FN,
C11R2,4,9,TRUE,FALSE,Enterobacteriaceae,Xanthomonadaceae,Raoultella,Stenotrophomonas,FN,
C11R2,4,10,TRUE,FALSE,Enterobacteriaceae,Pseudomonadaceae,Raoultella,Pseudomonas,FN,EP
C11R2,4,11,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Raoultella,Serratia,FF,EE
C11R2,4,12,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Raoultella,Enterobacter,FF,EE
C11R2,5,6,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Salmonella,Enterobacter,FF,EE
C11R2,5,7,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Salmonella,Enterobacter,FF,EE
C11R2,5,8,TRUE,FALSE,Enterobacteriaceae,Moraxellaceae,Salmonella,Acinetobacter,FN,
C11R2,5,9,TRUE,FALSE,Enterobacteriaceae,Xanthomonadaceae,Salmonella,Stenotrophomonas,FN,
C11R2,5,10,TRUE,FALSE,Enterobacteriaceae,Pseudomonadaceae,Salmonella,Pseudomonas,FN,EP
C11R2,5,11,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Salmonella,Serratia,FF,EE
C11R2,5,12,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Salmonella,Enterobacter,FF,EE
C11R2,6,7,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter,FF,EE
C11R2,6,8,TRUE,FALSE,Enterobacteriaceae,Moraxellaceae,Enterobacter,Acinetobacter,FN,
C11R2,6,9,TRUE,FALSE,Enterobacteriaceae,Xanthomonadaceae,Enterobacter,Stenotrophomonas,FN,
C11R2,6,10,TRUE,FALSE,Enterobacteriaceae,Pseudomonadaceae,Enterobacter,Pseudomonas,FN,EP
C11R2,6,11,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Serratia,FF,EE
C11R2,6,12,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter,FF,EE
C11R2,7,8,TRUE,FALSE,Enterobacteriaceae,Moraxellaceae,Enterobacter,Acinetobacter,FN,
C11R2,7,9,TRUE,FALSE,Enterobacteriaceae,Xanthomonadaceae,Enterobacter,Stenotrophomonas,FN,
C11R2,7,10,TRUE,FALSE,Enterobacteriaceae,Pseudomonadaceae,Enterobacter,Pseudomonas,FN,EP
C11R2,7,11,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Serratia,FF,EE
C11R2,7,12,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter,FF,EE
C11R2,8,9,FALSE,FALSE,Moraxellaceae,Xanthomonadaceae,Acinetobacter,Stenotrophomonas,NN,
C11R2,8,10,FALSE,FALSE,Moraxellaceae,Pseudomonadaceae,Acinetobacter,Pseudomonas,NN,
C11R2,8,11,FALSE,TRUE,Moraxellaceae,Enterobacteriaceae,Acinetobacter,Serratia,FN,
