Sample,Mixture,Time,Community,Isolate1,Isolate2,Isolate1Freq,Isolate2Freq,Isolate1FreqPredicted,Isolate2FreqPredicted,RSquare
225,AcrAss1_95_5_1_5,T3,AcrAss1,1,5,0.95,0.05,0.0374416870175138,0.962558312982486,0.952992348142465
226,AcrAss1_95_5_2_5,T3,AcrAss1,2,5,0.95,0.05,0.197951027508621,0.802048972491379,0.777281558663419
227,AcrAss1_95_5_3_5,T3,AcrAss1,3,5,0.95,0.05,0.20926734215576,0.79073265784424,0.954908079062437
228,AcrAss1_95_5_4_5,T3,AcrAss1,4,5,0.95,0.05,0.151470967631236,0.848529032368764,0.935010064041864
230,AcrAss1_95_5_6_5,T3,AcrAss1,5,6,0.05,0.95,0.741175306132232,0.258824693867769,0.800494707732809
231,AcrAss1_95_5_7_5,T3,AcrAss1,5,7,0.05,0.95,0.358198345343109,0.641801654656891,0.960581290271095
232,AcrAss1_95_5_8_5,T3,AcrAss1,5,8,0.05,0.95,0.926665741522751,0.0733342584772493,0.971002908606398
233,AcrAss1_95_5_1_6,T3,AcrAss1,1,6,0.95,0.05,0.917233203509377,0.0827667964906226,0.962380364262013
234,AcrAss1_95_5_2_6,T3,AcrAss1,2,6,0.95,0.05,0.951545654781557,0.0484543452184434,0.950093001228912
235,AcrAss1_95_5_3_6,T3,AcrAss1,3,6,0.95,0.05,0.974107443514215,0.0258925564857849,0.960196811182906
236,AcrAss1_95_5_4_6,T3,AcrAss1,4,6,0.95,0.05,0.489045083598171,0.510954916401829,0.00488375576363098
237,AcrAss1_95_5_5_6,T3,AcrAss1,5,6,0.95,0.05,0.950961017720348,0.0490389822796527,0.965073039272943
239,AcrAss1_95_5_7_6,T3,AcrAss1,6,7,0.05,0.95,0.136948495921546,0.863051504078454,0.764484292504321
240,AcrAss1_95_5_8_6,T3,AcrAss1,6,8,0.05,0.95,0.0396432977249684,0.960356702275032,0.950542021538311
241,AcrAss1_95_5_1_7,T3,AcrAss1,1,7,0.95,0.05,0.0342208086238843,0.965779191376116,0.954006033869264
242,AcrAss1_95_5_2_7,T3,AcrAss1,2,7,0.95,0.05,0.0877595638286142,0.912240436171386,0.951586466946171
243,AcrAss1_95_5_3_7,T3,AcrAss1,3,7,0.95,0.05,0.440673759778681,0.559326240221319,0.952807674166708
244,AcrAss1_95_5_4_7,T3,AcrAss1,4,7,0.95,0.05,0.386160108908424,0.613839891091577,0.961210047850068
245,AcrAss1_95_5_5_7,T3,AcrAss1,5,7,0.95,0.05,0.941934790592131,0.0580652094078694,0.967394690559138
