Assembly,Family,ID,Abundance,Transfer,Time,Community
self_assembly,F0,S382,1,0,0,W12
self_assembly,F0,S383,1,0,0,W8
self_assembly,F0,S383,1,0,0,W9
self_assembly,F0,S384,1,0,0,W17
self_assembly,F0,S385,1,0,0,W12
self_assembly,F0,S386,1,0,0,W16
self_assembly,F0,S389,1,0,0,W1
self_assembly,F0,S389,1,0,0,W5
self_assembly,F0,S389,1,0,0,W13
self_assembly,F0,S391,1,0,0,W10
self_assembly,F0,S392,1,0,0,W11
self_assembly,F0,S395,1,0,0,W11
self_assembly,F0,S395,1,0,0,W18
self_assembly,F0,S395,1,0,0,W19
self_assembly,F0,S396,1,0,0,W10
self_assembly,F0,S396,1,0,0,W16
self_assembly,F0,S397,1,0,0,W17
self_assembly,F0,S398,1,0,0,W14
self_assembly,F0,S401,1,0,0,W1
self_assembly,F0,S402,1,0,0,W4
self_assembly,F0,S403,1,0,0,W0
self_assembly,F0,S406,1,0,0,W7
self_assembly,F0,S407,1,0,0,W3
self_assembly,F0,S409,1,0,0,W16
self_assembly,F0,S409,1,0,0,W18
self_assembly,F0,S410,1,0,0,W17
self_assembly,F0,S411,1,0,0,W12
self_assembly,F0,S411,1,0,0,W16
self_assembly,F0,S412,1,0,0,W4
self_assembly,F0,S413,1,0,0,W9
self_assembly,F0,S417,1,0,0,W3
self_assembly,F0,S418,1,0,0,W4
self_assembly,F0,S418,1,0,0,W14
self_assembly,F0,S420,1,0,0,W4
self_assembly,F0,S420,1,0,0,W5
self_assembly,F0,S421,1,0,0,W0
self_assembly,F0,S421,1,0,0,W7
self_assembly,F0,S422,1,0,0,W4
self_assembly,F0,S422,1,0,0,W9
self_assembly,F0,S424,1,0,0,W17
self_assembly,F0,S427,1,0,0,W8
self_assembly,F0,S432,1,0,0,W11
self_assembly,F0,S432,1,0,0,W14
self_assembly,F0,S432,1,0,0,W16
self_assembly,F0,S433,1,0,0,W6
self_assembly,F0,S433,1,0,0,W8
self_assembly,F0,S434,1,0,0,W1
self_assembly,F0,S434,1,0,0,W12
self_assembly,F0,S434,1,0,0,W14
self_assembly,F0,S435,1,0,0,W8
self_assembly,F0,S435,1,0,0,W9
self_assembly,F0,S436,1,0,0,W6
self_assembly,F0,S438,1,0,0,W7
self_assembly,F0,S439,1,0,0,W3
self_assembly,F0,S440,1,0,0,W5
self_assembly,F0,S441,1,0,0,W2
self_assembly,F0,S441,1,0,0,W19
self_assembly,F0,S443,1,0,0,W7
self_assembly,F0,S445,1,0,0,W19
self_assembly,F0,S447,1,0,0,W8
self_assembly,F0,S448,1,0,0,W15
self_assembly,F0,S448,1,0,0,W17
self_assembly,F0,S449,1,0,0,W11
self_assembly,F0,S450,1,0,0,W3
self_assembly,F0,S450,1,0,0,W4
self_assembly,F0,S450,1,0,0,W11
self_assembly,F0,S452,1,0,0,W11
self_assembly,F0,S452,1,0,0,W14
self_assembly,F0,S452,1,0,0,W18
self_assembly,F0,S454,1,0,0,W5
self_assembly,F0,S456,1,0,0,W4
self_assembly,F0,S458,1,0,0,W19
self_assembly,F0,S459,1,0,0,W17
self_assembly,F0,S460,1,0,0,W19
self_assembly,F0,S461,1,0,0,W7
self_assembly,F0,S462,1,0,0,W19
self_assembly,F0,S463,1,0,0,W7
self_assembly,F0,S464,1,0,0,W1
self_assembly,F0,S464,1,0,0,W9
self_assembly,F0,S464,1,0,0,W16
self_assembly,F0,S465,1,0,0,W19
self_assembly,F0,S466,1,0,0,W3
self_assembly,F0,S466,1,0,0,W9
self_assembly,F0,S468,1,0,0,W17
self_assembly,F0,S469,1,0,0,W5
self_assembly,F0,S470,1,0,0,W0
self_assembly,F0,S470,1,0,0,W7
self_assembly,F0,S471,1,0,0,W8
self_assembly,F0,S471,1,0,0,W9
self_assembly,F0,S471,1,0,0,W15
self_assembly,F0,S472,1,0,0,W10
self_assembly,F0,S473,1,0,0,W5
self_assembly,F0,S473,1,0,0,W7
self_assembly,F0,S473,1,0,0,W10
self_assembly,F0,S475,1,0,0,W17
self_assembly,F0,S477,1,0,0,W16
self_assembly,F0,S478,1,0,0,W9
self_assembly,F0,S479,1,0,0,W8
self_assembly,F0,S480,1,0,0,W13
self_assembly,F0,S482,1,0,0,W3
self_assembly,F0,S483,1,0,0,W5
self_assembly,F0,S483,1,0,0,W13
self_assembly,F0,S484,1,0,0,W0
self_assembly,F0,S484,1,0,0,W13
self_assembly,F0,S484,1,0,0,W14
self_assembly,F0,S485,1,0,0,W15
self_assembly,F0,S486,1,0,0,W2
self_assembly,F0,S487,1,0,0,W8
self_assembly,F0,S487,1,0,0,W14
self_assembly,F0,S488,1,0,0,W18
self_assembly,F0,S489,1,0,0,W2
self_assembly,F0,S491,1,0,0,W1
self_assembly,F0,S491,1,0,0,W10
self_assembly,F0,S492,1,0,0,W7
self_assembly,F0,S492,1,0,0,W9
self_assembly,F0,S493,1,0,0,W0
self_assembly,F0,S493,1,0,0,W8
self_assembly,F0,S493,1,0,0,W12
self_assembly,F0,S493,1,0,0,W17
self_assembly,F0,S494,1,0,0,W11
self_assembly,F0,S497,1,0,0,W2
self_assembly,F0,S497,1,0,0,W15
self_assembly,F0,S497,1,0,0,W19
self_assembly,F0,S498,1,0,0,W1
self_assembly,F0,S499,1,0,0,W4
self_assembly,F0,S499,1,0,0,W16
self_assembly,F1,S500,1,0,0,W2
self_assembly,F1,S500,1,0,0,W5
self_assembly,F1,S500,1,0,0,W15
self_assembly,F1,S502,1,0,0,W13
self_assembly,F1,S502,1,0,0,W17
self_assembly,F1,S503,1,0,0,W4
self_assembly,F1,S504,1,0,0,W18
self_assembly,F1,S505,1,0,0,W0
self_assembly,F1,S507,1,0,0,W4
self_assembly,F1,S508,1,0,0,W0
self_assembly,F1,S509,1,0,0,W8
self_assembly,F1,S509,1,0,0,W14
self_assembly,F1,S510,1,0,0,W2
self_assembly,F1,S511,1,0,0,W4
self_assembly,F1,S512,1,0,0,W7
self_assembly,F1,S512,1,0,0,W10
self_assembly,F1,S512,1,0,0,W16
self_assembly,F1,S513,1,0,0,W7
self_assembly,F1,S513,1,0,0,W10
self_assembly,F1,S514,1,0,0,W13
self_assembly,F1,S514,1,0,0,W19
self_assembly,F1,S515,1,0,0,W12
self_assembly,F1,S515,1,0,0,W13
self_assembly,F1,S518,1,0,0,W11
self_assembly,F1,S518,1,0,0,W16
self_assembly,F1,S519,1,0,0,W11
self_assembly,F1,S520,1,0,0,W17
self_assembly,F1,S522,1,0,0,W14
self_assembly,F1,S523,1,0,0,W17
self_assembly,F1,S524,1,0,0,W1
self_assembly,F1,S524,1,0,0,W16
self_assembly,F1,S524,1,0,0,W19
self_assembly,F1,S525,1,0,0,W1
self_assembly,F1,S525,1,0,0,W4
self_assembly,F1,S525,1,0,0,W18
self_assembly,F1,S529,1,0,0,W9
self_assembly,F1,S531,1,0,0,W0
self_assembly,F1,S531,1,0,0,W3
self_assembly,F1,S532,1,0,0,W9
self_assembly,F1,S535,1,0,0,W2
self_assembly,F1,S536,1,0,0,W1
self_assembly,F1,S538,1,0,0,W5
self_assembly,F1,S538,1,0,0,W11
self_assembly,F1,S540,1,0,0,W19
self_assembly,F1,S542,1,0,0,W4
self_assembly,F1,S542,1,0,0,W13
self_assembly,F1,S542,1,0,0,W19
self_assembly,F1,S543,1,0,0,W9
self_assembly,F1,S544,1,0,0,W1
self_assembly,F1,S545,1,0,0,W10
self_assembly,F1,S546,1,0,0,W8
self_assembly,F1,S546,1,0,0,W16
self_assembly,F1,S547,1,0,0,W4
self_assembly,F1,S547,1,0,0,W15
self_assembly,F1,S548,1,0,0,W6
self_assembly,F1,S551,1,0,0,W18
self_assembly,F1,S552,1,0,0,W5
self_assembly,F1,S552,1,0,0,W14
self_assembly,F1,S553,1,0,0,W0
self_assembly,F1,S555,1,0,0,W0
self_assembly,F1,S555,1,0,0,W9
self_assembly,F1,S556,1,0,0,W1
self_assembly,F1,S559,1,0,0,W18
self_assembly,F1,S561,1,0,0,W5
self_assembly,F1,S562,1,0,0,W11
self_assembly,F1,S563,1,0,0,W15
self_assembly,F1,S563,1,0,0,W16
self_assembly,F1,S564,1,0,0,W3
self_assembly,F1,S564,1,0,0,W6
self_assembly,F1,S565,1,0,0,W18
self_assembly,F1,S566,1,0,0,W14
self_assembly,F1,S567,1,0,0,W6
self_assembly,F1,S567,1,0,0,W10
self_assembly,F1,S567,1,0,0,W16
self_assembly,F1,S569,1,0,0,W9
self_assembly,F1,S569,1,0,0,W10
self_assembly,F1,S571,1,0,0,W6
self_assembly,F1,S571,1,0,0,W14
self_assembly,F1,S571,1,0,0,W17
self_assembly,F1,S572,1,0,0,W3
self_assembly,F1,S572,1,0,0,W15
self_assembly,F1,S572,1,0,0,W16
self_assembly,F1,S572,1,0,0,W18
self_assembly,F1,S573,1,0,0,W10
self_assembly,F1,S573,1,0,0,W18
self_assembly,F1,S575,1,0,0,W2
self_assembly,F1,S575,1,0,0,W5
self_assembly,F1,S576,1,0,0,W4
self_assembly,F1,S576,1,0,0,W19
self_assembly,F1,S578,1,0,0,W15
self_assembly,F1,S581,1,0,0,W0
self_assembly,F1,S583,1,0,0,W6
self_assembly,F1,S586,1,0,0,W4
self_assembly,F1,S586,1,0,0,W7
self_assembly,F1,S588,1,0,0,W18
self_assembly,F1,S588,1,0,0,W19
self_assembly,F1,S589,1,0,0,W2
self_assembly,F1,S589,1,0,0,W5
self_assembly,F1,S590,1,0,0,W0
self_assembly,F1,S590,1,0,0,W9
self_assembly,F1,S593,1,0,0,W16
self_assembly,F1,S594,1,0,0,W11
self_assembly,F1,S595,1,0,0,W15
self_assembly,F1,S596,1,0,0,W0
self_assembly,F1,S596,1,0,0,W13
self_assembly,F1,S596,1,0,0,W18
self_assembly,F1,S597,1,0,0,W9
self_assembly,F1,S600,1,0,0,W0
self_assembly,F1,S600,1,0,0,W14
self_assembly,F1,S600,1,0,0,W18
self_assembly,F1,S603,1,0,0,W4
self_assembly,F1,S603,1,0,0,W11
self_assembly,F1,S608,1,0,0,W6
self_assembly,F1,S609,1,0,0,W3
self_assembly,F1,S609,1,0,0,W6
self_assembly,F1,S610,1,0,0,W9
self_assembly,F1,S612,1,0,0,W14
self_assembly,F1,S613,1,0,0,W2
