ExpID,ID,Community,Isolate,SID,K,T_mid,R,CS,maxOD,R16,R24,R48,RUpper,RMid,RLow,R16_water,R24_water,R48_water,RUpper_water,RMid_water,RLow_water,Family,SangerID
11.2.B.4.1,454,C11R2,8,454_2-Ketogluconate,0.225289609081364,15.2771676490503,0.137034453234815,2-Ketogluconate,0.242,0.0811074108462478,0.0610983848675048,0.0368176389340408,0.0745709324029252,0.0870285303753101,0.0928058006841848,0.069562997787445,0.0481838220015146,0.0325343890648375,0.062961576235938,0.0741168778082203,0.0782166074299499,Moraxellaceae,454
11.2.B.4.1,454,C11R2,8,454_2-Oxoglutarate,0.511605792836554,19.7127380541222,0.150778719693643,2-Oxoglutarate,0.524,0.105801121904937,0.0929708073680445,0.054580170030287,0.08789000682524,0.100507561609193,0.106885397234544,0.069562997787445,0.0481832631411607,0.0325340119769465,0.0441223438524034,0.0592040806262144,0.0708116564098357,Moraxellaceae,454
11.2.B.4.1,454,C11R2,8,454_Acetate,0.523537785856193,18.6423681886961,0.178330410349096,Acetate,0.533,0.114978194967999,0.0960427192040846,0.0549484617524999,0.0617817811792829,0.0676700433067334,0.081918690757723,0.069562997787445,0.0481838220015146,0.0325338234362789,0.0320287498054151,0.0321208770925034,0.0379871275492672,Moraxellaceae,454
11.2.B.4.1,454,C11R2,8,454_Citrate,0.461922500148646,34.425941546836,0.0725244916709909,Citrate,0.335,0.087001800487223,0.0608328068616977,0.0461770116968964,0.0709255903315677,0.0807321690552622,0.0904541335758195,0.069562997787445,0.0481832631411607,0.0325342005197993,0.0562426258442463,0.064815347267228,0.0721280321731754,Moraxellaceae,454
11.2.B.4.1,454,C11R2,8,454_D-Fructose,0.300466722561093,17.9479479579038,0.176097806271266,D-Fructose,0.302,0.0947214041244873,0.0743036299050114,0.0442557313595815,0.0734218254182211,0.0954723569199394,0.0968814216172288,0.0695642213248881,0.0481843808748328,0.0325345776120611,0.047492969193075,0.0721293884221352,0.0799889318704133,Moraxellaceae,454
11.2.B.4.1,454,C11R2,8,454_D-Galactose,0.275223442089348,18.0055214587199,0.168757261934163,D-Galactose,0.283,0.0913318637206767,0.0748168426517544,0.0438466212929286,0.0830717150670244,0.0913318637206767,0.0969328393053352,0.0695642213248881,0.0481849397611157,0.0325345776120611,0.0562426258442463,0.0695642213248881,0.0782166074299499,Moraxellaceae,454
11.2.B.4.1,454,C11R2,8,454_D-Glucose,0.279246748170287,19.2971237359334,0.151768443907663,D-Glucose,0.282,0.0912454592273699,0.0709925326218942,0.0429888133759456,0.0837617455434894,0.0878931495269891,0.0762935549528525,0.0695642213248881,0.0481843808748328,0.0325345776120611,0.0603929904362483,0.0810851109425198,0.0835345438196839,Moraxellaceae,454
11.2.B.4.1,454,C11R2,8,454_D-Lactate,0.602842390948836,17.1962760562822,0.191273206384283,D-Lactate,0.622,0.129508168952998,0.105092599818449,0.0580657212166184,0.087311415124965,0.101032753458054,0.112048272138238,0.069562997787445,0.0481832631411607,0.0325342005197993,0.0379871275492672,0.0458886421792431,0.0539220760300171,Moraxellaceae,454
11.2.B.4.1,454,C11R2,8,454_D-Ribose,0.350584264223561,20.4641643737306,0.147163386916625,D-Ribose,0.347,0.0904268716937077,0.0758221823664472,0.0467804576534759,0.0770672693823374,0.0869911721429608,0.0933349103313464,0.0695642213248881,0.0481843808748328,0.0325343890648375,0.0506620823244407,0.0648174261480822,0.0756208771353314,Moraxellaceae,454
11.2.B.4.1,454,C11R2,8,454_ddH20,0.102758708052788,11.0735591408038,0.285642762216868,ddH20,0.154,0.069562997787445,0.0481832631411607,0.0325336348977966,0.0548681002508612,0.0708116564098357,0.0603336751341572,0.069562997787445,0.0481832631411607,0.0325336348977966,0.0548681002508612,0.0708116564098357,0.0603336751341572,Moraxellaceae,454
