Fermenter,Strain,SourceType,Source,SourceCarbon,MetaboliteType,Metabolite,MetaboliteCarbon,Replicate,MetaboliteConc
respirator,Pputida,acid,acetate,2,acid,alanine,3,1,0
respirator,Pputida,acid,acetate,2,acid,valine,5,1,0
respirator,Pputida,acid,acetate,2,acid,butyrate,4,1,1.83
respirator,Pputida,acid,acetate,2,acid,beta-hydroxybutyrate,4,1,1.19
respirator,Pputida,acid,acetate,2,acid,glycine,2,1,0.3500000000000001
respirator,Pputida,acid,acetate,2,acid,succinate,4,1,0.253
respirator,Pputida,acid,acetate,2,acid,propionate,3,1,8.18
respirator,Pputida,acid,acetate,2,acid,lactate,3,1,0
respirator,Pputida,acid,acetate,2,acid,fumarate,4,1,0.108
respirator,Pputida,acid,acetate,2,sugar,glucose,6,1,0
respirator,Pputida,acid,acetate,2,acid,acetate,2,1,3004.8
respirator,Pputida,acid,acetate,2,acid,asparagine,4,1,0
respirator,Pputida,acid,acetate,2,acid,methionine,5,1,0
respirator,Pputida,acid,acetate,2,acid,acetyl-ornithine,7,1,1.31
respirator,Pputida,acid,acetate,2,acid,hippurate,9,1,0
respirator,Pputida,acid,acetate,2,acid,valerate,5,1,0.877
respirator,Pputida,acid,acetate,2,acid,pyruvate,3,1,0
respirator,Pputida,acid,acetate,2,acid,alpha-ketoglutarate,5,1,0
respirator,Pputida,acid,acetate,2,acid,putrescine,4,1,0
respirator,Pputida,acid,acetate,2,acid,citrate,6,1,4.207
respirator,Pputida,acid,acetate,2,acid,propionate,3,2,10.8
respirator,Pputida,acid,acetate,2,sugar,glucose,6,2,0
respirator,Pputida,acid,acetate,2,acid,alpha-ketoglutarate,5,2,0
respirator,Pputida,acid,acetate,2,acid,glycine,2,2,0.08999999999999986
respirator,Pputida,acid,acetate,2,acid,valine,5,2,0
respirator,Pputida,acid,acetate,2,acid,butyrate,4,2,1.89
respirator,Pputida,acid,acetate,2,acid,beta-hydroxybutyrate,4,2,1.35
respirator,Pputida,acid,acetate,2,acid,acetyl-ornithine,7,2,1.54
respirator,Pputida,acid,acetate,2,acid,pyruvate,3,2,0
respirator,Pputida,acid,acetate,2,acid,alanine,3,2,0
respirator,Pputida,acid,acetate,2,acid,fumarate,4,2,0.0708
respirator,Pputida,acid,acetate,2,acid,serine,3,2,0
respirator,Pputida,acid,acetate,2,acid,acetate,2,2,1714.8
respirator,Pputida,acid,acetate,2,acid,asparagine,4,2,0
respirator,Pputida,acid,acetate,2,acid,putrescine,4,2,0
respirator,Pputida,acid,acetate,2,acid,hippurate,9,2,0
respirator,Pputida,acid,acetate,2,acid,valerate,5,2,0.651
respirator,Pputida,acid,acetate,2,acid,methionine,5,2,0
respirator,Pputida,acid,acetate,2,acid,lactate,3,2,0
respirator,Pputida,acid,acetate,2,acid,succinate,4,2,0.221
respirator,Pputida,acid,acetate,2,acid,citrate,6,2,3.2870000000000004
